customer_name,total_clean
Lisa Davis,55631.71
Christopher Walker,55615.37
John Hernandez,55476.74
Michael Hall,55330.86
James White,55208.16
Elizabeth Rodriguez,55153.18
David Lewis,55149.52
Samantha Johnson,55109.22
Michael Carter,54958.05
Robert Lopez,54917.229999999996
Michael Green,54861.020000000004
Emily Brown,54839.98
John Thomas,54818.75
Andrew Garcia,54781.0
Melissa Wilson,54709.36
Eric Lopez,54652.770000000004
Jessica Hernandez,54544.11
Jennifer Anderson,54531.13
Emily Williams,54495.97
James Peterson,54341.03
Daniel Jones,54317.549999999996
Melissa Jones,54315.72
Christopher Sullivan,54296.78
Taylor Jones,54239.73
Robert Moore,54213.590000000004
Daniel Robinson,54062.65
Jessica Rodriguez,54040.270000000004
Kevin Lewis,54015.149999999994
Mark Clark,53870.59
Thomas Miller,53845.74
Linda Johnson,53794.79
Jason Martin,53784.17
Christopher King,53736.79
Margaret Johnson,53651.16
Eric Williams,53615.15
Sarah Davis,53586.11
Eric Taylor,53579.369999999995
Jennifer Wilson,53558.47
Jessica Evans,53505.39000000001
Nicole Miller,53474.0
Richard Robinson,53401.7
James Hall,53298.75
Kimberly Thompson,53285.44
Lisa Thompson,53259.03
Brian Gonzalez,53247.490000000005
Michelle Davis,53221.53
William Hernandez,53201.509999999995
Christopher Thompson,53176.52
Amy Jones,53115.770000000004
Michael Foster,53102.86
Kimberly Rodriguez,53091.020000000004
Joseph Brown,53014.01
Michael Scott,52960.62
Jennifer Diaz,52925.52
Stephanie Lopez,52905.29
Jennifer Thompson,52901.58
Matthew Martinez,52900.57
Matthew Davis,52819.4
Jonathan Brown,52714.97
Megan Jones,52583.270000000004
Stephanie Taylor,52261.94
Steven Jones,52245.18
Jennifer Baker,52017.25
Joshua Wilson,51942.88
Christine Davis,51914.4
Richard Anderson,51908.85
Tiffany Smith,51841.310000000005
Lisa Rodriguez,51796.909999999996
Edward Smith,51724.759999999995
Christina Brown,51699.66
Victoria Smith,51644.2
Robert Martin,51619.92
Jeffrey Garcia,51602.42
Sandra Smith,51569.11
Thomas Wilson,51420.35
Stephanie Jones,51320.51
Samuel Williams,51305.33
William Wilson,51238.74
Brandon Allen,51238.59
Amanda Miller,51207.04
Melissa Brown,51143.89
Matthew Miller,51125.84
Justin Anderson,51027.89
Robert Jackson,50997.58
Timothy Jones,50986.65
David Harris,50979.07
Donald Johnson,50883.729999999996
Joshua Moore,50800.76
Pamela Brown,50784.78
Lisa Wilson,50767.6
Jennifer King,50757.51
Jessica Davis,50739.81
Crystal Smith,50734.810000000005
David Walker,50730.16
Julie Miller,50708.49
Laura Williams,50682.88
Jessica Garcia,50663.26
Joshua Davis,50623.03
Michelle Thompson,50563.38
Rebecca Davis,50369.369999999995
Crystal Johnson,50317.4
Robert Mitchell,50287.43
David Clark,50276.33
Timothy Brown,50254.46
Sarah Rodriguez,50246.229999999996
Kimberly Davis,50108.98
David Jackson,50072.57
Kenneth Johnson,50039.83
Amanda Williams,50015.33
Lisa White,49938.45
Brian Brown,49936.81
Samuel Johnson,49906.37
Mary Rodriguez,49902.82
Lisa Young,49757.37
Tammy Brown,49718.25
John Clark,49600.25
Emily Johnson,49586.19
Joshua Lopez,49530.27
William Adams,49508.5
Julie Smith,49478.479999999996
Rebecca Jones,49466.4
Mary Lee,49455.89
Brian Jones,49436.51
Ryan Jones,49394.229999999996
Anthony Perez,49382.57
John Martinez,49376.3
Ashley Clark,49373.5
Matthew Moore,49322.34
Eric White,49267.18
Matthew Thompson,49244.8
Amy Jackson,49190.39
Kyle Rodriguez,49165.47
Jennifer Sanchez,49069.78
Mark Brown,49053.81
Elizabeth Thompson,49042.48
Michael Rogers,49006.39
James Perez,48989.39
Laura Davis,48886.12
Angela Miller,48857.939999999995
Robert Baker,48828.55
Joseph Moore,48766.67
William Thomas,48722.01
Jennifer Robinson,48695.979999999996
Brenda Smith,48659.42
Melissa Williams,48603.69
Elizabeth Hernandez,48592.28
Kimberly Lopez,48565.93
Michelle Hernandez,48522.1
Melissa Garcia,48418.5
Angela Martin,48407.39
James Young,48406.55
Jessica Jackson,48337.03
David Mason,48308.27
William Robinson,48280.130000000005
Michael Perkins,48233.9
Leslie Brown,48220.45
Karen Jones,48164.87
Jennifer Martin,48058.33
Jennifer Lopez,48006.14
James Cook,48004.73
Bryan Smith,47949.82
Jordan Johnson,47922.94
Bryan Miller,47874.97
Heather Rodriguez,47870.17
Daniel Gonzalez,47777.130000000005
David Nelson,47630.08
Donald Smith,47629.39
Stephanie Hernandez,47624.57
Robert Hernandez,47599.73
James Rivera,47573.33
Jason Miller,47568.03
Eric Brown,47557.76
Lisa Lopez,47527.57
Lisa Garcia,47398.51
Daniel Wilson,47374.55
Richard Martin,47291.02
David Thompson,47274.11
David Foster,47256.12
Rebecca Wilson,47213.0
James Taylor,47172.28
Amber Williams,47085.28
Joshua Taylor,47063.65
Jennifer Harris,47056.3
Pamela Johnson,46995.55
Jason Jackson,46994.67
Richard Miller,46854.68
Heather Anderson,46840.68
Christopher Turner,46706.42
Ryan Smith,46692.49
Richard Davis,46688.01
Angela Martinez,46655.4
Linda Williams,46489.28
Kyle Smith,46475.659999999996
Brandon Jones,46404.79
Sarah White,46402.9
Joseph Davis,46389.24
Robert Hall,46303.61
John Harris,46201.93
James Turner,46160.2
Heather Martin,46102.93
Timothy Martinez,46061.13
Michael Collins,46047.17
Robert Richardson,46045.32
Maria Brown,46012.23
Kimberly Ramirez,46010.83
Benjamin Brown,46010.57
Patrick Smith,45992.53
David Ramirez,45990.86
Matthew Thomas,45916.01
Andrea Smith,45893.78
Ryan Martinez,45861.84
Shannon Johnson,45783.19
Christopher Robinson,45769.86
George Johnson,45764.14
Lori Brown,45741.42
Cynthia Williams,45708.52
Ashley Lopez,45702.01
Rachel Davis,45676.53
Christopher Richardson,45629.92
Jonathan Robinson,45621.39
Jason Thompson,45573.55
Kevin Davis,45567.29
Andrea Martinez,45437.27
Stephanie Lee,45398.78
Matthew Edwards,45391.91
Ashley Garcia,45390.01
Ronald Smith,45366.95
Mark Moore,45297.27
Richard Rodriguez,45252.38
Kristen Johnson,45188.15
Robert Young,45179.61
Barbara Smith,45179.57
Andrew Moore,45164.78
Mark King,45080.91
Thomas Brown,45077.69
Nicholas Moore,45047.93
Kimberly Mitchell,45003.75
Michelle Walker,44977.75
Andrea Williams,44971.84
Anthony Hall,44920.95
Brian Garcia,44906.520000000004
Amanda Wright,44896.95
David Campbell,44886.509999999995
Andrew Thomas,44824.94
Michael Morgan,44791.82
Brittany Smith,44778.35
Aaron Jones,44729.549999999996
Daniel Hill,44698.78
Patricia Williams,44675.93
John Turner,44651.05
Kimberly Martin,44650.09
Angela Clark,44645.99
William Lee,44639.44
Angela Moore,44625.94
Jennifer Green,44608.81
James Martin,44562.34
Laura Jones,44536.03
Ashley Anderson,44516.03
Jennifer Watson,44514.56
Kimberly Garcia,44490.84
Jessica Lewis,44465.8
John Watson,44375.46
Joshua Hernandez,44374.27
Lisa Clark,44291.7
David Cox,44239.61
Michelle Garcia,44154.03
Joseph Harris,44142.92
Jessica Thompson,44047.78
Jessica Taylor,44026.12
Michelle White,44018.54
James Gonzalez,43973.61
Ryan Collins,43954.31
Michelle Moore,43950.64
Christine Jones,43943.12
Christopher Green,43935.63
Jason Williams,43922.7
Ryan Brown,43913.51
Christopher Lopez,43859.72
Bradley Johnson,43818.15
Emily Rodriguez,43815.0
Patricia Martin,43706.89
John Hall,43698.5
Jose Smith,43681.36
Jonathan Miller,43585.28
Steven Lopez,43555.97
Nicole King,43517.09
Samuel Smith,43428.57
Susan Miller,43403.8
William Anderson,43383.79
Jason Davis,43356.66
John Scott,43352.64
Patrick Jones,43351.35
Michael Gibson,43340.24
Steven Brown,43331.4
Richard Lee,43299.46
Jennifer Young,43292.630000000005
Brandon Hernandez,43285.73
Nicole Brown,43264.12
Jennifer Nelson,43246.95
James Watson,43243.65
Joshua Harris,43192.83
Courtney Smith,43190.29
Jessica Lopez,43159.95
Linda Miller,43158.67
Jacob Jones,43063.68
Michael Ramos,43060.27
Crystal Jones,43040.58
Jennifer Reed,43012.96
Andrew Wilson,42993.83
Mark Davis,42966.590000000004
Kelly Smith,42942.72
Matthew Gonzalez,42886.2
Christopher Hill,42872.770000000004
Linda Smith,42866.64
Laura Rodriguez,42865.51
Kayla Johnson,42849.01
Thomas Richardson,42835.06
Robert Lee,42833.659999999996
Charles Williams,42805.86
Joshua Williams,42777.06
Jonathan Jackson,42728.37
Nicholas Williams,42720.1
Joshua Clark,42696.87
Jessica White,42681.229999999996
Amy Davis,42581.25
David Bishop,42550.07
James Carter,42537.93
Brandon Williams,42517.93
Edward Johnson,42456.62
John Sanchez,42454.46
Joshua Patterson,42432.47
Eric Hernandez,42421.9
Ashley Lewis,42419.03
Lori Davis,42409.64
John Lewis,42385.82
Jason Wilson,42367.6
Karen Jackson,42346.7
William Taylor,42337.55
William Davis,42320.79
Cynthia Miller,42307.74
Melissa Martin,42241.47
Jennifer Cooper,42224.63
Thomas Walker,42203.0
Amy Thomas,42191.619999999995
Cynthia Anderson,42068.21
Matthew Clark,42067.54
Nicholas Martin,42063.12
Anthony Jones,42060.6
Michael Porter,42005.07
Ann Smith,41985.83
Laura King,41971.96
Ryan Hernandez,41919.01
John Wright,41882.32
Jessica Turner,41847.2
James Bell,41839.64
Jennifer Jordan,41809.9
Daniel Evans,41726.51
Jessica Wright,41722.28
Christopher Martin,41687.770000000004
James Ramirez,41687.46
Kimberly Anderson,41684.59
Jason Brown,41675.58
Eric Martin,41658.38
David Gonzalez,41613.56
Elizabeth Perez,41563.3
Mark Harris,41557.36
Erica Brown,41532.53
Christopher Perez,41465.51
David Robinson,41441.770000000004
Amy Wilson,41394.72
Karen Brown,41353.3
Michael Cox,41335.21
Andrew Jones,41309.9
Heather Johnson,41284.549999999996
Alexander Anderson,41273.71
Cynthia Johnson,41260.34
Charles Miller,41221.74
Ryan Davis,41201.03
Timothy Thomas,41183.65
Amanda Davis,41182.62
Ryan Taylor,41143.76
Jessica Wilson,41101.06
Jennifer Clark,41100.43
Ronald Johnson,41034.31
James Flores,41017.88
Andrea Davis,41003.07
Jessica Moore,40980.07
Daniel Clark,40943.5
Jeremy Smith,40933.31
Patricia Jones,40906.72
Ryan Garcia,40867.04
Kyle Brown,40828.83
Melissa Hall,40826.87
Anthony Rodriguez,40812.310000000005
Jacob Allen,40766.64
Joshua Thomas,40760.68
Jeffrey Brown,40701.67
Steven Martinez,40700.2
Joshua Miller,40694.94
Kevin Taylor,40688.99
James Wright,40683.91
Tracy Williams,40616.520000000004
Michael Fisher,40583.27
David Gutierrez,40572.12
Thomas Jackson,40559.68
Thomas Rodriguez,40558.5
Erin Brown,40550.84
Jessica Harris,40503.95
Christopher Baker,40500.61
James Harris,40410.75
Anthony Anderson,40401.46
Paul Davis,40386.17
Michelle Lee,40366.86
Laura Taylor,40334.42
Joseph Thompson,40318.14
Mark Hernandez,40298.9
John Perez,40284.99
John Robertson,40279.91
Robert Long,40273.31
Scott Smith,40221.68
Heather Thomas,40213.64
William Clark,40202.54
Christopher Diaz,40185.549999999996
Richard Walker,40178.92
Timothy Miller,40161.46
Rebecca Anderson,40094.53
Jessica Clark,40071.340000000004
Michael Baker,40043.95
Nicole Taylor,40015.58
Paul Johnson,39976.17
Mary Gonzalez,39962.81
Stephen Johnson,39941.04
Michael Reynolds,39936.97
Jared Smith,39933.46
Nicholas Jackson,39931.43
Michael Jordan,39931.04
Sarah Wilson,39869.8
Robert Taylor,39847.03
Joseph Murphy,39836.87
Shannon Harris,39835.0
Debra Johnson,39829.55
Karen Johnson,39829.15
Michael Dunn,39819.1
William Harris,39755.670000000006
Timothy Perez,39754.92
Brian Davis,39742.6
Teresa Williams,39721.67
Stephanie Ramirez,39696.17
Katherine Brown,39684.04
Robert Marshall,39653.51
Michael Russell,39610.659999999996
Lisa Hart,39597.96
Joseph Martinez,39573.53
Steven Wallace,39555.84
Sandra Johnson,39555.44
Lisa Martinez,39534.01
Robert Parker,39532.89
Ashley Robinson,39521.36
Kimberly Walker,39467.0
John Butler,39423.76
Brandon Brown,39421.11
Mark Rodriguez,39405.19
Erin Williams,39394.18
Katherine Williams,39389.83
Scott Thomas,39369.97
Denise Brown,39326.22
Joseph Lewis,39281.270000000004
Michelle Thomas,39276.049999999996
Mary Brown,39274.72
Jacob Smith,39269.45
Lisa Allen,39240.579999999994
Karen Williams,39218.74
Denise Smith,39199.08
John King,39184.19
Michael Bell,39164.92
Timothy Long,39152.9
John Parker,39147.270000000004
Marissa Smith,39125.47
Jamie Smith,39113.36
Christopher Moore,39096.5
Angela Jackson,39094.8
Jamie Williams,39040.63
Heather Miller,39022.01
Amy Brown,38993.61
William Garcia,38991.95
Jennifer Perez,38957.3
Robert Roberts,38911.57
Michael Sanders,38897.12
William Martin,38860.56
Susan Moore,38853.66
Christopher Long,38851.84
Michael Ross,38825.8
Heather Davis,38766.37
Brenda Johnson,38761.02
Kathleen Perez,38741.229999999996
Christine Williams,38733.79
David Myers,38719.89
Jeffrey Jones,38703.37
John Brooks,38660.979999999996
Amanda Lopez,38654.53999999999
Rebecca Miller,38626.12
Karen Thomas,38622.67
Karen Thompson,38595.36
Tracy Jones,38566.29
Tiffany Johnson,38539.8
Michael Hicks,38518.76
Tiffany Miller,38476.86
Jennifer Hale,38458.92
Jennifer Allen,38423.03
Robert Carter,38385.88
Mark Garcia,38377.29
Keith Johnson,38363.28
Mark Allen,38331.91
John Cook,38329.76
Jamie Brown,38290.96
Ashley Rodriguez,38285.94
Stephanie Rodriguez,38179.32
Richard Thompson,38177.03
Stephanie Garcia,38175.2
Jacob Johnson,38160.75
Brett Johnson,38152.41
Gabriel Smith,38143.86
Justin Hernandez,38089.54
Mark Thomas,38040.15
Brian King,38035.58
Robert Sanchez,38011.06
Kyle Martinez,37989.53
Daniel Garcia,37985.22
Joshua Rodriguez,37968.32
Lisa Mitchell,37962.75
John Campbell,37955.64
Jessica Parker,37954.92
Kevin Perez,37952.08
Peter Smith,37946.16
Patrick Johnson,37931.64
Kevin Garcia,37914.21
Brian Wright,37904.64
Robert James,37902.79
Mark Anderson,37877.24
Jonathan Davis,37858.63
Rebecca Brown,37857.26
Justin Thompson,37834.479999999996
Sara Smith,37823.45
Thomas Carter,37821.78
Elizabeth Moore,37799.28
Michael Stone,37795.43
Thomas Jones,37761.8
Emily Thomas,37714.62
Jonathan Rodriguez,37693.44
Brian Nguyen,37685.52
Stephen Davis,37627.979999999996
Christopher Patterson,37613.87
Timothy Wilson,37606.0
Michael Hawkins,37567.93
David Gomez,37531.42
Joseph White,37489.53
Christopher Edwards,37460.61
John Torres,37448.95
Daniel Stewart,37429.54
John White,37425.41
Sandra Williams,37398.22
Tara Johnson,37396.77
Andrew Rodriguez,37389.17
Matthew Taylor,37336.82
Michelle Perez,37333.51
Adam Miller,37329.27
Alexander Davis,37306.03
Susan Williams,37295.71
Stephen Brown,37282.229999999996
Matthew Harris,37221.42
Andrew Jackson,37174.06
Heather Harris,37161.9
William Peterson,37131.47
Michael Pierce,37117.42
Barbara Johnson,37101.06
Michael Kelley,37072.19
Brittany Brown,37070.85
Scott Morris,37069.13
Nicholas Miller,37035.19
Andrew Wright,37028.94
Michael Gomez,37023.99
Matthew Lee,37017.15
Paul Anderson,37014.27
Kimberly Turner,37009.35
John Ross,36997.08
Victoria Miller,36988.79
Jeffrey Martinez,36988.56
Kelly Williams,36988.42
Amber Smith,36983.76
Matthew Jackson,36973.54
Stephanie Lewis,36953.06
Deborah Johnson,36948.63
Lisa Hernandez,36938.07
David Morris,36928.46
Melissa Nguyen,36923.77
Richard Wilson,36899.02
Michael Reyes,36897.79
Ryan Miller,36868.79
Joshua White,36855.89
Elizabeth Davis,36849.44
Gregory Brown,36840.68
Jeffrey Davis,36836.49
William King,36835.63
Mark Martin,36793.18
Bruce Brown,36773.77
Daniel Hernandez,36699.61
James Robinson,36698.89
Lisa Jackson,36696.21
Daniel Thomas,36671.57
James Morgan,36655.28
Michael Kelly,36647.01
Nathan Johnson,36611.950000000004
Sarah Jackson,36595.4
Christopher Henderson,36565.28
Joseph Hernandez,36559.71
Jennifer Lewis,36556.71
William Lewis,36555.8
Robert Perez,36531.09
Jeremy Johnson,36481.79
Ryan Martin,36421.45
Joseph Lee,36414.05
Carl Smith,36359.79
Catherine Williams,36346.0
Chad Johnson,36338.17
David Gray,36319.67
Maria Miller,36317.7
Timothy Lopez,36315.78
Karen Perez,36313.63
Robert Carlson,36285.07
Michael Morris,36280.95
Michael Perry,36264.67
Thomas Williams,36250.55
Elizabeth Taylor,36235.119999999995
James Patterson,36234.21
Lisa Baker,36219.15
Kevin Brown,36216.06
Melanie Smith,36201.3
James Lewis,36200.07
Michael Edwards,36180.37
Amy Lopez,36173.48
Matthew Lopez,36159.02
James Sanchez,36152.79
Matthew Nguyen,36138.83
Timothy Hall,36112.44
Lori Williams,36097.7
Jason Green,36079.49
Stephanie Miller,36057.71
Michael Hunt,36031.4
Robert Green,36020.47
Joseph Jackson,36011.659999999996
Elizabeth Anderson,35986.13
James King,35938.67
Ashley Nguyen,35916.83
Daniel Allen,35870.82
Paul Moore,35840.67
Timothy Davis,35838.7
Danielle Johnson,35835.84
