transaction_id,customer_name,purchase_date,item,quantity,price,total
1056,Nada,2024/01/10,Mouse,1,$1200,$1200
1057,Sara,2024/01/22,Laptop,2,€150,€300
1058,Youssef,2024.01.05,Laptop,-1,€1200,€-1200
1059,Ali,20-01-2024,Laptop,2,€150,€300
1060,,16-01-2024,Monitor,-1,$150,$-150
1061,Sara,2024/01/15,Laptop,1,$45,$-5
1062,Mohamed,02 Jan 2024,Phone,1,€1200,€1200
1063,Omar,2024/01/28,Monitor,4,€1200,€4800
1064,Youssef,01 Jan 2024,Phone,2,€20,€40
1065,Nada,03 Jan 2024,Phone,1,€85,€85
1066,Hana,2024.01.27,Monitor,5,€300,€1500
1067,Fatma,2024/01/02,Tablet,3,€85,€255
1068,Ali,2024-01-10,Phone,2,€85,€220
1069,Ali,2024.01.26,Monitor,5,$500,$2500
1070,Ali,18-01-2024,Laptop,3,$1200,$3600
1071,Ali,18-01-2024,Phone,1,€45,€145
1072,,2024.01.18,Headphones,5,$300,$1500
1073,Fatma,11 Jan 2024,Tablet,-1,$20,$-20
1074,Hana,2024/01/21,Monitor,4,€500,€2000
1075,Sara,06 Jan 2024,Laptop,4,€300,€1200
1076,,05 Jan 2024,Tablet,5,€150,€750
1077,Mohamed,06-01-2024,Tablet,3,$500,$1550
1078,Mohamed,2024.01.11,Mouse,2,€45,€90
1079,Fatma,2024.01.04,Monitor,4,$45,$180
1080,Omar,2024-01-08,Headphones,2,$45,$90
1081,Sara,2024/01/21,Headphones,2,€45,€90
1082,Laila,2024-01-12,Laptop,5,$85,$425
1083,Fatma,2024/01/19,Mouse,5,€20,€100
1084,Sara,2024-01-21,Keyboard,3,€45,€135
1085,Ali,19 Jan 2024,Phone,4,€500,€2000
1086,Omar,2024-01-27,Keyboard,4,€20,€130
1087,Khaled,2024/01/11,,4,$300,$1200
1088,Youssef,2024.01.12,Keyboard,1,€1200,€1200
1089,Laila,2024/01/04,Chair,-1,€300,€-300
1090,Omar,09-01-2024,Phone,5,$300,$1600
1091,Fatma,02 Jan 2024,Chair,1,€150,€150
1092,Youssef,2024-01-11,Keyboard,4,€20,€80
1093,Fatma,2024.01.21,Mouse,-1,€45,€-45
1094,Hana,2024-01-03,Chair,2,$45,$90
1095,Laila,2024-01-05,Tablet,2,$20,$40
1096,Hana,2024/01/07,Headphones,5,€500,€2500
1097,Youssef,2024/01/25,Phone,1,$150,$150
1098,Nada,2024/01/02,Mouse,3,€85,€255
1099,Omar,2024/01/01,Mouse,4,€20,€80
1100,Fatma,2024.01.14,Headphones,3,$300,$900
1101,Omar,25-01-2024,Phone,5,$20,$100
1102,Fatma,2024/01/17,Keyboard,3,$1200,$3600
1103,Youssef,28-01-2024,,4,€85,€290
1104,Ali,20 Jan 2024,Keyboard,4,€150,€550
1105,Mohamed,2024.01.12,,3,$45,$135
1106,Ali,12 Jan 2024,,3,€45,€135
1107,Hana,2024.01.22,Tablet,1,$85,$85
1108,Nada,27-01-2024,Monitor,3,€85,€255
1109,Fatma,2024.01.23,Headphones,5,€45,€175
1110,Ali,20-01-2024,,4,€85,€340
1111,Mohamed,23-01-2024,,5,$300,$1500
1112,Fatma,2024-01-15,Keyboard,1,€300,€300
1113,Mohamed,2024/01/13,Keyboard,1,$300,$300
1114,Mohamed,2024-01-23,Chair,0,$500,$0
1115,Youssef,2024-01-15,Tablet,2,€20,€40
1116,Laila,27 Jan 2024,Mouse,1,€1200,€1250
1117,Sara,2024-01-23,,4,€300,€1200
1118,Khaled,16 Jan 2024,Monitor,3,€150,€450
1119,Fatma,2024-01-06,Monitor,2,$1200,$2400
1120,Khaled,2024/01/01,Monitor,-1,$20,$-70
1121,Fatma,2024.01.28,Chair,0,$500,$0
1122,Ali,2024.01.08,Laptop,0,€45,€0
1123,Khaled,07 Jan 2024,Keyboard,1,€1200,€1200
1124,Hana,2024.01.06,Mouse,3,€500,€1500
1125,Nada,2024/01/09,Phone,1,€150,€150
1126,Laila,2024-01-08,Chair,1,$300,$300
1127,Youssef,2024-01-14,Monitor,3,€85,€255
1128,Sara,17-01-2024,Monitor,3,$500,$1500
1129,Hana,25-01-2024,Laptop,1,$1200,$1200
1130,,2024.01.04,Mouse,1,$300,$300
1131,Laila,2024-01-10,Laptop,1,€85,€85
1132,Hana,2024/01/10,Chair,3,€85,€255
1133,Youssef,2024/01/01,Headphones,-1,€150,€-150
1134,Ali,2024/01/03,Chair,4,$20,$80
1135,Fatma,2024/01/19,,5,$45,$225
1136,Sara,2024.01.03,Tablet,3,€1200,€3650
1137,Omar,25 Jan 2024,Mouse,1,€150,€150
1138,Nada,2024.01.17,Headphones,4,€150,€600
1139,,2024/01/12,Tablet,4,€45,€180
1140,Sara,2024/01/11,,4,€1200,€4750
1141,Khaled,12 Jan 2024,Mouse,1,$20,$-30
1142,Youssef,2024/01/09,,5,$1200,$6000
1143,Laila,2024-01-15,,3,$85,$255
1144,Ali,2024/01/23,Laptop,3,$85,$255
1145,Fatma,13-01-2024,Keyboard,1,€1200,€1200
1146,Ali,14 Jan 2024,Monitor,3,$85,$255
1147,Nada,28-01-2024,Tablet,4,$20,$80
1148,Mohamed,2024-01-26,Mouse,-1,€20,€-20
1149,Khaled,2024/01/07,Tablet,1,$1200,$1200
1150,Khaled,2024/01/14,Headphones,3,€500,€1500
1151,Khaled,2024-01-18,,3,$150,$450
1152,Youssef,2024-01-26,Mouse,5,$20,$100
1153,Laila,09-01-2024,Tablet,2,$300,$600
1154,Youssef,2024/01/15,Headphones,0,€500,€0
1155,Mohamed,27 Jan 2024,Tablet,1,€1200,€1200
1156,Nada,2024/01/05,,5,$1200,$6000
1157,Omar,2024/01/19,Mouse,3,€1200,€3600
1158,Omar,18 Jan 2024,Tablet,2,€45,€40
1159,Nada,2024.01.03,Phone,3,€85,€255
1160,Laila,03-01-2024,Monitor,4,$85,$340
1161,Omar,26 Jan 2024,,3,$20,$60
1162,Hana,2024/01/09,Keyboard,4,$150,$600
1163,Khaled,2024-01-18,Mouse,-1,€20,€-20
1164,Omar,13-01-2024,Headphones,2,$500,$1000
1165,Laila,08 Jan 2024,Tablet,1,$45,$45
1166,Omar,2024.01.05,Headphones,1,€85,€85
1167,Nada,09 Jan 2024,Tablet,0,$1200,$0
1168,Mohamed,08 Jan 2024,Monitor,3,$85,$255
1169,Nada,2024.01.04,Chair,5,€1200,€6000
1170,Nada,22-01-2024,,2,$150,$300
1171,Youssef,2024.01.14,Laptop,1,$500,$500
1172,Nada,19 Jan 2024,Tablet,3,€1200,€3600
1173,Nada,2024-01-20,Monitor,0,€150,€50
1174,Hana,11 Jan 2024,Chair,3,€150,€450
1175,Omar,2024.01.14,Monitor,4,€1200,€4800
1176,Mohamed,2024/01/11,Chair,4,$500,$2000
1177,Fatma,2024-01-27,Mouse,3,€85,€255
1178,Nada,2024/01/15,Laptop,5,$45,$225
1179,Laila,2024-01-20,Monitor,-1,€150,€-150
1180,Sara,09-01-2024,Phone,2,€300,€550
1181,Hana,14-01-2024,Tablet,5,€1200,€6000
1182,Khaled,2024-01-15,Tablet,4,€85,€340
1183,Youssef,2024-01-13,Phone,4,€45,€180
1184,Youssef,25 Jan 2024,Monitor,3,€1200,€3600
1185,Laila,2024.01.15,Monitor,5,€300,€1500
1186,Omar,2024/01/19,Monitor,4,€85,€340
1187,Fatma,2024-01-20,Laptop,1,$85,$85
1188,,12-01-2024,Chair,-1,$85,$-85
1189,,2024-01-01,Headphones,5,€150,€700
1190,,2024-01-03,Phone,5,€85,€425
1191,Hana,2024.01.24,Mouse,5,$20,$100
1192,,2024-01-28,Monitor,3,$1200,$3600
1193,Hana,2024.01.01,Headphones,2,€20,€40
1194,Nada,2024/01/24,,2,€85,€170
1195,Omar,2024/01/05,Headphones,2,$150,$300
1196,Youssef,01-01-2024,Monitor,-1,$85,$-85
1197,Mohamed,18-01-2024,Phone,5,$1200,$6000
1198,Mohamed,2024/01/03,Keyboard,5,€20,€100
1199,Khaled,04-01-2024,,2,$85,$170
1200,Sara,2024.01.02,Phone,2,€1200,€2400
