transaction_id,customer_name,product,quantity,price,total,purchase_date
67,Lauren Rowe PhD,Mouse,3,€ 1186.04,€ 3558.12,20/01/2024
68,Michael Good,Mouse,4,€ 1944.55,€ 7778.2,04/01/2024
69,Tammy Vasquez,Laptop,2,$ 257.16,$ 514.32,09/01/2024
70,Steven Gray,Headphones,2,€ 976.25,€ 1952.5,29/01/2024
71,Tyler Davis,Tablet,5,€ 1109.02,€ 5545.1,22/01/2024
72,Antonio Hebert,Keyboard,1,€ 1508.64,€ 1508.64,17/01/2024
73,Luke Douglas,Headphones,2,$ 332.25,$ 664.5,21/01/2024
74,Ariana Miller,Monitor,1,€ 626.27,€ 626.27,24/01/2024
75,Courtney Rangel,Keyboard,1,€ 444.64,€ 444.64,20/01/2024
76,Steve Rodriguez,Mouse,4,$ 1140.45,$ 4561.8,03/01/2024
77,Danny Brown,Keyboard,2,$ 1621.98,$ 3243.96,25/01/2024
78,Aaron Lynch,Phone,1,€ 1275.07,€ 1275.07,04/01/2024
79,Kristen Nelson,Laptop,3,$ 146.12,$ 438.36,23/01/2024
80,Jaime Bailey,Monitor,2,€ 773.11,€ 1546.22,17/01/2024
81,Marcia Burke,Tablet,4,€ 484.57,€ 1938.28,11/01/2024
82,Cheryl Hoffman,Headphones,4,$ 149.02,$ 596.08,11/01/2024
83,Gregory Stewart,Mouse,4,$ 264.96,$ 1059.84,31/01/2024
84,Tina Miller,Laptop,2,$ 510.65,$ 1021.3,20/01/2024
85,Ariel Wells,Headphones,4,$ 517.88,$ 2071.52,08/01/2024
86,Matthew Figueroa,Mouse,5,€ 1391.33,€ 6956.65,16/01/2024
87,Michelle Johnson,Laptop,5,€ 1046.09,€ 5230.45,01/01/2024
88,Debra Johnson,Monitor,5,€ 1243.3,€ 6216.5,28/01/2024
89,Mark Thompson,Phone,4,€ 1998.08,€ 7992.32,27/01/2024
90,David Thompson,Phone,1,$ 1375.68,$ 1375.68,19/01/2024
91,Mr. Travis Snow,Monitor,2,$ 1238.28,$ 2476.56,19/01/2024
92,John Berry,Laptop,3,€ 1008.85,€ 3026.55,13/01/2024
93,Jordan Morales,Phone,5,$ 1727.59,$ 8637.95,06/01/2024
94,Jermaine Berger,Mouse,4,$ 976.05,$ 3904.2,01/01/2024
95,Rebecca Jackson,Keyboard,1,€ 90.92,€ 90.92,18/01/2024
96,Tammie Downs,Monitor,2,$ 1706.76,$ 3413.52,21/01/2024
97,Meghan Martinez,Phone,2,$ 1211.52,$ 2423.04,09/01/2024
98,Adam Smith,Mouse,2,$ 770.85,$ 1541.7,06/01/2024
99,Cody Soto,Laptop,1,$ 739.91,$ 739.91,18/01/2024
100,Matthew Haynes,Keyboard,4,€ 1555.64,€ 6222.56,31/01/2024
101,Jennifer Harrington,Phone,3,$ 457.46,$ 1372.38,26/01/2024
102,Kimberly Peterson,Laptop,3,$ 1008.35,$ 3025.05,13/01/2024
103,Jack Griffin,Mouse,5,$ 1822.14,$ 9110.7,05/01/2024
104,Christine Tate,Phone,5,$ 466.17,$ 2330.85,08/01/2024
105,Juan Hopkins,Tablet,2,€ 744.36,€ 1488.72,21/01/2024
106,Jonathan Gutierrez,Tablet,4,$ 1667.97,$ 6671.88,01/01/2024
107,Robert Phillips,Headphones,1,€ 825.33,€ 825.33,23/01/2024
108,Benjamin Reynolds,Monitor,5,€ 1691.2,€ 8456.0,30/01/2024
109,Jacob Sexton,Mouse,2,$ 262.24,$ 524.48,04/01/2024
110,Michelle Tran,Mouse,2,$ 1220.6,$ 2441.2,24/01/2024
111,Donald Ward,Tablet,3,€ 794.35,€ 2383.05,11/01/2024
112,Susan Bennett,Mouse,2,€ 868.13,€ 1736.26,19/01/2024
113,Bonnie Sheppard,Monitor,2,$ 1639.44,$ 3278.88,22/01/2024
114,Patrick Wallace,Phone,1,€ 700.47,€ 700.47,08/01/2024
115,Megan Gray,Mouse,1,$ 324.77,$ 324.77,25/01/2024
116,Robin Roberts,Tablet,5,€ 1977.43,€ 9887.15,05/01/2024
117,Margaret Blankenship,Laptop,1,$ 694.27,$ 694.27,10/01/2024
118,Jamie Smith,Tablet,5,€ 371.36,€ 1856.8,30/01/2024
119,Austin Jimenez,Keyboard,5,$ 85.67,$ 428.35,31/01/2024
120,Jose Newton,Tablet,3,$ 544.56,$ 1633.68,16/01/2024
121,Savannah Carson,Mouse,3,$ 147.38,$ 442.14,04/01/2024
122,Cristian Davis,Phone,1,$ 1421.52,$ 1421.52,09/01/2024
123,Megan Terry,Tablet,1,$ 307.59,$ 307.59,18/01/2024
124,Casey Evans,Laptop,3,€ 1711.36,€ 5134.08,01/01/2024
125,Christy Thompson,Headphones,4,$ 96.11,$ 384.44,20/01/2024
126,Nicholas Washington,Monitor,3,€ 913.37,€ 2740.11,24/01/2024
127,Heidi Humphrey,Laptop,5,€ 1052.16,€ 5260.8,28/01/2024
128,Barry Hudson,Headphones,2,$ 614.15,$ 1228.3,17/01/2024
129,Leslie Torres,Tablet,1,€ 1631.83,€ 1631.83,31/01/2024
130,Jack Rivera,Phone,5,$ 1229.96,$ 6149.8,20/01/2024
131,Gary Boyle,Keyboard,2,€ 409.32,€ 818.64,12/01/2024
132,Kaitlyn Cruz,Phone,1,€ 1993.5,€ 1993.5,01/01/2024
133,Richard Hammond,Tablet,3,€ 466.56,€ 1399.68,17/01/2024
134,Blake Copeland,Monitor,1,€ 352.13,€ 352.13,21/01/2024
135,Alyssa Anderson,Tablet,3,€ 964.59,€ 2893.77,10/01/2024
136,Amy Hicks,Phone,3,€ 566.89,€ 1700.67,29/01/2024
137,Carla Baldwin,Mouse,1,€ 740.5,€ 740.5,24/01/2024
138,David Mitchell,Laptop,1,$ 1989.97,$ 1989.97,27/01/2024
139,Brooke Copeland,Monitor,5,€ 375.31,€ 1876.55,18/01/2024
140,Joe Ramirez,Phone,5,$ 815.23,$ 4076.15,20/01/2024
141,Mary Moore,Tablet,4,$ 1489.24,$ 5956.96,05/01/2024
142,Dr. Maria Davis,Headphones,1,$ 904.38,$ 904.38,28/01/2024
143,Tara Montgomery,Phone,2,$ 1344.32,$ 2688.64,16/01/2024
144,Catherine Stanley,Headphones,4,€ 474.41,€ 1897.64,31/01/2024
145,Chelsea Lang,Tablet,5,$ 567.96,$ 2839.8,17/01/2024
146,David Hogan,Keyboard,1,€ 1070.76,€ 1070.76,10/01/2024
147,Adam Luna,Keyboard,3,€ 1810.11,€ 5430.33,13/01/2024
148,Caitlin Martinez,Phone,3,$ 485.36,$ 1456.08,26/01/2024
149,Anna Jordan,Keyboard,2,€ 1842.74,€ 3685.48,31/01/2024
150,Nancy Jimenez,Headphones,2,$ 448.39,$ 896.78,21/01/2024
151,Jimmy Jones,Laptop,3,€ 524.28,€ 1572.84,27/01/2024
152,Brandon Vargas,Headphones,4,€ 1040.91,€ 4163.64,19/01/2024
153,Lisa Moore,Mouse,4,$ 839.93,$ 3359.72,24/01/2024
154,Amanda Combs,Keyboard,3,$ 1876.16,$ 5628.48,22/01/2024
155,Richard Griffin,Tablet,2,€ 881.51,€ 1763.02,07/01/2024
156,Timothy Obrien,Monitor,4,€ 1648.22,€ 6592.88,19/01/2024
157,Rodney Madden,Keyboard,2,$ 1498.35,$ 2996.7,09/01/2024
158,Benjamin Holland,Headphones,1,€ 62.11,€ 62.11,03/01/2024
159,Nicholas Anderson,Monitor,2,$ 1809.71,$ 3619.42,28/01/2024
160,Bradley Adams,Headphones,5,€ 1050.23,€ 5251.15,05/01/2024
161,Erica Hull,Phone,1,$ 477.67,$ 477.67,27/01/2024
162,Michelle Leon,Tablet,4,$ 1458.27,$ 5833.08,14/01/2024
163,Annette Rose,Phone,2,$ 1242.85,$ 2485.7,24/01/2024
164,Eric Bowers,Phone,5,$ 1295.68,$ 6478.4,16/01/2024
165,Christina Harris,Laptop,3,$ 305.96,$ 917.88,10/01/2024
166,Anthony Henderson,Monitor,2,€ 941.61,€ 1883.22,18/01/2024
167,Angela Lynch,Keyboard,4,€ 1948.04,€ 7792.16,10/01/2024
168,David Brown,Keyboard,5,$ 148.74,$ 743.7,02/01/2024
169,Bridget Massey,Monitor,3,$ 1043.31,$ 3129.93,20/01/2024
170,Anna Brown,Laptop,1,€ 1367.12,€ 1367.12,12/01/2024
171,Gregory Brown,Laptop,5,€ 1953.95,€ 9769.75,05/01/2024
172,Stephanie Cox,Keyboard,3,€ 605.09,€ 1815.27,29/01/2024
173,Valerie Wilson,Tablet,1,€ 1788.27,€ 1788.27,06/01/2024
174,Jeremy Wong,Monitor,1,$ 1493.72,$ 1493.72,10/01/2024
175,Laura Hunter,Phone,4,$ 552.61,$ 2210.44,17/01/2024
176,Ronnie Watts,Headphones,5,€ 1432.79,€ 7163.95,12/01/2024
177,Brianna Keller,Phone,1,$ 1634.84,$ 1634.84,12/01/2024
178,Terri Moss,Phone,5,$ 302.63,$ 1513.15,24/01/2024
179,Nathan Boone,Monitor,5,$ 750.65,$ 3753.25,10/01/2024
180,Michael Cook,Monitor,2,$ 1263.25,$ 2526.5,17/01/2024
181,Dean Campbell,Tablet,5,€ 692.59,€ 3462.95,02/01/2024
182,Jason Johnson,Laptop,4,$ 1698.81,$ 6795.24,04/01/2024
183,Peter Gibson,Mouse,3,€ 1875.22,€ 5625.66,26/01/2024
184,Kevin Davis,Laptop,3,€ 394.29,€ 1182.87,02/01/2024
185,Craig Howard,Phone,2,€ 488.03,€ 976.06,30/01/2024
186,Joyce Miranda,Phone,3,$ 1124.78,$ 3374.34,27/01/2024
187,Alexander Davis,Monitor,5,$ 224.15,$ 1120.75,06/01/2024
188,Alvin Leonard,Keyboard,3,$ 817.9,$ 2453.7,29/01/2024
189,Derrick Lane,Headphones,2,€ 626.65,€ 1253.3,22/01/2024
190,Thomas Bailey,Laptop,2,$ 531.03,$ 1062.06,21/01/2024
191,Todd Baker,Phone,5,$ 239.12,$ 1195.6,07/01/2024
192,Brett Weber,Laptop,2,$ 785.13,$ 1570.26,16/01/2024
193,Rebecca Mccullough,Tablet,4,$ 1567.57,$ 6270.28,30/01/2024
194,Melissa Jones,Phone,1,€ 1233.44,€ 1233.44,22/01/2024
195,Mr. Michael Brady DDS,Monitor,2,$ 82.47,$ 164.94,08/01/2024
196,Tiffany Gross,Laptop,3,€ 1803.97,€ 5411.91,31/01/2024
197,Daniel Rose,Headphones,1,€ 1475.76,€ 1475.76,18/01/2024
198,David Shaw,Laptop,3,€ 180.87,€ 542.61,26/01/2024
199,Gina Mosley,Laptop,1,$ 1124.4,$ 1124.4,16/01/2024
200,Kevin Nicholson,Phone,2,$ 1949.13,$ 3898.26,02/01/2024
201,Arthur David,Keyboard,3,€ 1053.08,€ 3159.24,28/01/2024
202,Gregory Thompson,Laptop,4,$ 759.02,$ 3036.08,11/01/2024
203,Kathy Martin,Headphones,3,€ 1693.18,€ 5079.54,07/01/2024
204,Peter Jones,Tablet,5,€ 1918.13,€ 9590.65,10/01/2024
205,Cameron Fernandez,Phone,4,$ 895.42,$ 3581.68,05/01/2024
206,John Reynolds,Mouse,1,$ 1094.86,$ 1094.86,16/01/2024
207,Maria Henson,Tablet,2,$ 675.44,$ 1350.88,25/01/2024
208,Nicole Sutton,Keyboard,3,€ 1699.22,€ 5097.66,15/01/2024
209,Alexis Lynch,Keyboard,3,$ 729.51,$ 2188.53,05/01/2024
210,Vanessa Howard,Mouse,5,$ 754.5,$ 3772.5,01/01/2024
211,Vicki Garcia,Monitor,3,$ 1239.03,$ 3717.09,28/01/2024
212,Sherri Keller,Phone,1,$ 1773.07,$ 1773.07,22/01/2024
213,Tyler Robinson,Monitor,5,$ 1987.5,$ 9937.5,07/01/2024
214,Miranda Allen,Keyboard,1,$ 1056.06,$ 1056.06,21/01/2024
215,William Carr,Headphones,2,$ 784.83,$ 1569.66,31/01/2024
216,Dale Thompson,Monitor,1,€ 191.67,€ 191.67,28/01/2024
217,Russell Miller,Headphones,4,$ 1602.6,$ 6410.4,25/01/2024
218,Christy Owens,Tablet,4,$ 1463.54,$ 5854.16,07/01/2024
219,Rachel Young,Monitor,3,$ 1673.91,$ 5021.73,26/01/2024
220,Timothy Rice,Monitor,4,$ 1190.11,$ 4760.44,28/01/2024
221,Michael Boyd,Tablet,5,€ 1498.18,€ 7490.9,01/01/2024
222,Olivia Glover,Tablet,5,€ 443.27,€ 2216.35,14/01/2024
223,Justin Wong,Phone,2,$ 1418.7,$ 2837.4,21/01/2024
224,Kristopher Fleming,Monitor,4,€ 1571.34,€ 6285.36,04/01/2024
225,Kyle Baker,Headphones,5,$ 253.59,$ 1267.95,21/01/2024
226,Jamie Parks,Monitor,3,€ 1941.77,€ 5825.31,21/01/2024
227,Christian Sims,Phone,1,$ 1669.6,$ 1669.6,01/01/2024
228,Samantha Scott,Laptop,4,$ 402.28,$ 1609.12,18/01/2024
229,Tammy Smith,Keyboard,3,€ 1733.63,€ 5200.89,09/01/2024
230,Xavier Williams,Monitor,5,$ 1342.53,$ 6712.65,21/01/2024
231,David Marshall,Tablet,5,€ 785.56,€ 3927.8,17/01/2024
232,Aimee Jackson,Keyboard,1,$ 1787.98,$ 1787.98,19/01/2024
233,Katherine Burnett,Laptop,3,$ 310.69,$ 932.07,04/01/2024
234,Suzanne Combs,Headphones,4,€ 517.68,€ 2070.72,09/01/2024
235,Joseph Daniels,Phone,1,$ 777.86,$ 777.86,12/01/2024
236,Tonya Hall,Tablet,2,$ 1241.94,$ 2483.88,08/01/2024
237,Joshua Ibarra,Keyboard,4,$ 1465.28,$ 5861.12,25/01/2024
238,Melissa Ballard,Laptop,3,$ 502.9,$ 1508.7,06/01/2024
239,Robin Fitzgerald,Mouse,2,€ 1444.45,€ 2888.9,21/01/2024
240,Lauren Brewer,Tablet,3,$ 1822.63,$ 5467.89,02/01/2024
241,Lindsay Kelly,Mouse,2,€ 1608.74,€ 3217.48,24/01/2024
242,Joshua Russell,Laptop,5,$ 1285.61,$ 6428.05,26/01/2024
243,Olivia Mullins,Monitor,3,$ 1288.4,$ 3865.2,04/01/2024
244,Diana Vincent,Mouse,1,€ 1118.87,€ 1118.87,08/01/2024
245,Timothy Jacobs,Monitor,5,€ 993.62,€ 4968.1,24/01/2024
246,Daniel Hicks,Headphones,3,$ 347.73,$ 1043.19,11/01/2024
247,Nancy Molina,Laptop,1,$ 142.89,$ 142.89,05/01/2024
248,Robert Johnson,Phone,2,€ 602.07,€ 1204.14,18/01/2024
249,George Fox,Keyboard,5,€ 1249.83,€ 6249.15,11/01/2024
250,Sara Salazar,Keyboard,3,$ 104.52,$ 313.56,02/01/2024
251,Gregory Winters,Tablet,3,$ 1817.92,$ 5453.76,21/01/2024
252,Jeffrey Roberts,Headphones,2,$ 903.72,$ 1807.44,29/01/2024
253,Sandra Logan,Tablet,3,$ 943.41,$ 2830.23,21/01/2024
254,Tiffany Bolton,Phone,2,$ 1029.99,$ 2059.98,08/01/2024
255,Rita Christian,Monitor,4,$ 1618.85,$ 6475.4,19/01/2024
256,Bailey Wood,Tablet,1,$ 1404.23,$ 1404.23,19/01/2024
257,Rebecca Nicholson,Laptop,2,€ 604.68,€ 1209.36,24/01/2024
258,Rebecca Taylor,Laptop,4,$ 1408.18,$ 5632.72,22/01/2024
259,Melanie Esparza,Laptop,4,€ 1941.42,€ 7765.68,24/01/2024
260,Brandon Mejia,Laptop,1,$ 646.72,$ 646.72,16/01/2024
261,Tiffany Griffin,Phone,4,€ 1045.84,€ 4183.36,19/01/2024
262,Kelly Black,Keyboard,4,€ 290.25,€ 1161.0,21/01/2024
263,Jack Hill,Monitor,2,$ 1586.69,$ 3173.38,06/01/2024
264,Reginald Kim,Monitor,5,€ 1008.62,€ 5043.1,24/01/2024
265,Christina Ponce,Monitor,1,$ 1434.28,$ 1434.28,01/01/2024
266,Christina Parker,Monitor,5,$ 1119.79,$ 5598.95,18/01/2024
267,Mr. John Conway,Mouse,4,$ 1993.55,$ 7974.2,06/01/2024
268,Alex Williams,Monitor,4,€ 126.72,€ 506.88,30/01/2024
269,Anthony Green,Mouse,4,$ 1331.51,$ 5326.04,06/01/2024
270,Katherine Robinson,Tablet,5,$ 1551.94,$ 7759.7,17/01/2024
271,Mary Cole,Tablet,1,$ 415.41,$ 415.41,11/01/2024
272,Beverly Malone,Monitor,5,$ 64.3,$ 321.5,14/01/2024
273,Heather Alvarez,Mouse,4,$ 1303.88,$ 5215.52,23/01/2024
274,Charles Crawford,Laptop,3,€ 283.52,€ 850.56,01/01/2024
275,Susan Hutchinson,Mouse,5,$ 705.2,$ 3526.0,24/01/2024
276,Austin Aguilar,Keyboard,4,$ 1028.9,$ 4115.6,11/01/2024
277,Clayton Guzman,Mouse,1,$ 1346.46,$ 1346.46,27/01/2024
278,Jessica Villarreal,Monitor,5,$ 759.04,$ 3795.2,29/01/2024
279,Carly Melton MD,Phone,5,$ 1121.46,$ 5607.3,08/01/2024
280,Laura Powell,Headphones,4,$ 1294.01,$ 5176.04,01/01/2024
281,Teresa Nguyen,Phone,5,$ 1515.2,$ 7576.0,23/01/2024
282,Jonathan Valencia,Keyboard,5,$ 1247.87,$ 6239.35,04/01/2024
283,Jay Hunt,Laptop,4,$ 1931.79,$ 7727.16,02/01/2024
284,Brendan Thornton,Mouse,4,€ 967.77,€ 3871.08,07/01/2024
285,John Miles,Phone,2,€ 343.69,€ 687.38,11/01/2024
286,Wesley Galvan,Laptop,1,€ 1823.98,€ 1823.98,28/01/2024
287,William Bowman,Mouse,4,$ 562.62,$ 2250.48,08/01/2024
288,Scott Weaver,Monitor,4,$ 778.43,$ 3113.72,15/01/2024
289,Mr. Bruce Smith,Mouse,2,$ 61.84,$ 123.68,05/01/2024
290,Anita Smith,Phone,5,$ 1341.42,$ 6707.1,18/01/2024
291,Eric Murray,Tablet,4,€ 1832.42,€ 7329.68,20/01/2024
292,Derek Austin,Tablet,5,€ 862.2,€ 4311.0,08/01/2024
293,Mary Miller,Monitor,2,€ 1282.03,€ 2564.06,16/01/2024
294,Jennifer Cole,Mouse,3,€ 1336.33,€ 4008.99,25/01/2024
295,Dennis Brown,Tablet,1,€ 1288.69,€ 1288.69,23/01/2024
296,Jennifer White,Tablet,1,$ 1191.32,$ 1191.32,30/01/2024
297,Andres Johnson,Headphones,5,$ 1423.78,$ 7118.9,29/01/2024
298,Shannon Spencer,Laptop,4,€ 1221.91,€ 4887.64,16/01/2024
299,Jose Wood,Monitor,3,€ 1613.15,€ 4839.45,29/01/2024
300,Lauren Sherman,Phone,2,$ 61.42,$ 122.84,14/01/2024
301,Clifford Sanchez,Keyboard,5,€ 762.98,€ 3814.9,31/01/2024
302,Stacy Casey,Keyboard,2,$ 1499.47,$ 2998.94,05/01/2024
303,Scott Patterson,Monitor,3,€ 1263.82,€ 3791.46,28/01/2024
304,Sherri Kent,Keyboard,2,€ 811.62,€ 1623.24,28/01/2024
305,Ivan Williams,Keyboard,3,$ 604.05,$ 1812.15,07/01/2024
306,Derrick Francis,Mouse,2,$ 1847.87,$ 3695.74,24/01/2024
307,Jeffrey Hernandez,Tablet,5,€ 1086.57,€ 5432.85,11/01/2024
308,Christopher Stevens,Monitor,3,$ 100.3,$ 300.9,31/01/2024
309,Lisa Fields,Laptop,2,€ 1382.2,€ 2764.4,15/01/2024
310,Patricia Daniel,Tablet,3,€ 1471.04,€ 4413.12,03/01/2024
311,Jeffrey Dennis,Keyboard,3,€ 501.7,€ 1505.1,10/01/2024
312,Ashley Arnold,Headphones,3,$ 409.15,$ 1227.45,04/01/2024
313,Glenn Riley,Laptop,5,€ 333.06,€ 1665.3,04/01/2024
314,Brandon Bowers,Phone,3,€ 842.81,€ 2528.43,28/01/2024
315,Michael Gallegos,Laptop,1,$ 662.16,$ 662.16,10/01/2024
316,Steven Joseph,Phone,1,€ 548.56,€ 548.56,27/01/2024
317,Angela Salinas,Phone,2,€ 974.72,€ 1949.44,23/01/2024
318,Karen Rice,Monitor,3,€ 263.74,€ 791.22,08/01/2024
319,Lindsey Love,Tablet,5,€ 1412.65,€ 7063.25,29/01/2024
320,Keith Smith,Tablet,1,$ 1058.91,$ 1058.91,16/01/2024
321,Melissa Beck,Mouse,3,$ 96.86,$ 290.58,03/01/2024
322,Tina Solis,Monitor,1,$ 932.56,$ 932.56,08/01/2024
323,Michelle English,Phone,1,$ 228.81,$ 228.81,19/01/2024
324,Gina Stephenson,Laptop,4,$ 1525.17,$ 6100.68,20/01/2024
325,Jennifer White,Headphones,2,$ 437.06,$ 874.12,08/01/2024
326,Courtney Thomas,Laptop,5,$ 769.43,$ 3847.15,21/01/2024
327,Jessica Kennedy,Keyboard,3,$ 343.33,$ 1029.99,17/01/2024
328,Renee Owens,Keyboard,2,€ 1475.78,€ 2951.56,24/01/2024
329,Matthew Morgan,Headphones,5,€ 582.79,€ 2913.95,16/01/2024
330,Susan Kramer,Phone,5,€ 81.04,€ 405.2,13/01/2024
331,Elizabeth Hardy,Keyboard,2,$ 1546.41,$ 3092.82,23/01/2024
332,Jeffrey Jones,Mouse,1,€ 1800.13,€ 1800.13,15/01/2024
333,Kelly Brown,Phone,4,€ 840.43,€ 3361.72,14/01/2024
334,Sarah Mendoza,Keyboard,3,€ 207.21,€ 621.63,05/01/2024
335,Kristina Cooper,Headphones,4,€ 1298.4,€ 5193.6,11/01/2024
336,Laura Jordan,Phone,1,$ 1118.26,$ 1118.26,21/01/2024
337,Christopher Chan,Mouse,4,€ 396.07,€ 1584.28,28/01/2024
338,Keith Arnold,Tablet,2,$ 194.58,$ 389.16,24/01/2024
339,Robert Berry,Phone,4,€ 641.7,€ 2566.8,09/01/2024
340,Curtis Daniels,Phone,4,€ 411.16,€ 1644.64,14/01/2024
341,Daniel Howard,Headphones,1,€ 1055.05,€ 1055.05,23/01/2024
342,Kaitlyn Newman,Laptop,3,€ 1514.82,€ 4544.46,05/01/2024
343,Donna Strickland,Tablet,5,€ 1273.78,€ 6368.9,13/01/2024
344,Willie Browning,Keyboard,2,€ 1557.29,€ 3114.58,30/01/2024
345,Scott Richmond,Keyboard,5,€ 1076.5,€ 5382.5,28/01/2024
346,James Cruz,Mouse,5,$ 814.02,$ 4070.1,06/01/2024
347,Gerald Lucero,Phone,1,$ 1445.33,$ 1445.33,15/01/2024
348,Robert Thompson,Phone,3,$ 1397.35,$ 4192.05,03/01/2024
349,Mark Mathis,Monitor,5,$ 1289.33,$ 6446.65,15/01/2024
350,Stephanie Barker,Tablet,5,€ 1452.61,€ 7263.05,29/01/2024
351,Judith Shannon,Phone,2,$ 759.92,$ 1519.84,05/01/2024
